ImgName,chars,charBB
test/1002_1.png,PRIVATE,"[[  4.   7.  32.  45.]
 [ 34.   8.  32.  44.]
 [ 63.   7.  18.  41.]
 [ 81.   8.  45.  44.]
 [115.   7.  37.  43.]
 [149.   5.  35.  44.]
 [184.   6.  35.  47.]]"
test/1002_2.png,PARKING,"[[  3.   3.  31.  44.]
 [ 28.   3.  39.  41.]
 [ 66.   3.  36.  45.]
 [ 97.   3.  42.  42.]
 [137.   3.  14.  44.]
 [153.   3.  33.  42.]
 [185.   3.  31.  45.]]"
test/1009_1.png,Salutes,"[[  4.   3.  21.  33.]
 [ 28.  12.  18.  23.]
 [ 46.   3.  11.  32.]
 [ 57.  11.  19.  24.]
 [ 79.   8.  12.  27.]
 [ 92.  12.  17.  23.]
 [111.  12.  14.  24.]]"
test/100_1.png,DOLCE,"[[ 7.  9. 25. 33.]
 [33.  6. 31. 37.]
 [64.  8. 13. 34.]
 [75.  6. 25. 37.]
 [98.  5. 16. 38.]]"
test/100_2.png,GABBANA,"[[  6.   6.  31.  36.]
 [ 36.   7.  23.  35.]
 [ 58.   7.  26.  34.]
 [ 80.   4.  23.  38.]
 [102.   6.  25.  33.]
 [127.   4.  32.  36.]
 [159.   6.  24.  33.]]"
test/100_3.png,REGENCY,"[[  9.  17.  27.  23.]
 [ 37.  17.  27.  21.]
 [ 61.  13.  30.  28.]
 [ 91.  16.  27.  22.]
 [118.  15.  29.  23.]
 [146.  14.  25.  22.]
 [170.  14.  27.  21.]]"
test/1016_1.png,STATE,"[[ 6.  5. 14. 20.]
 [18.  6. 13. 21.]
 [31.  7. 15. 21.]
 [43.  9. 13. 19.]
 [55. 10. 13. 20.]]"
test/1016_2.png,BANK,"[[ 4.  5. 13. 19.]
 [18.  8. 11. 19.]
 [28.  9. 13. 18.]
 [41. 10. 11. 19.]]"
test/1016_3.png,OF,"[[ 3.  6. 13. 19.]
 [16.  7.  8. 18.]]"
test/1016_4.png,INDIA,"[[ 3.  6.  8. 18.]
 [ 9.  7. 10. 18.]
 [19.  8. 10. 18.]
 [28. 10.  7. 17.]
 [33. 11. 10. 16.]]"
test/1017_3.png,KINGFISHER,"[[  5.   4.  21.  39.]
 [ 25.   8.  11.  28.]
 [ 36.   7.  20.  31.]
 [ 56.   7.  20.  33.]
 [ 77.   8.  18.  31.]
 [ 94.   8.   8.  31.]
 [102.   9.  16.  30.]
 [120.   9.  20.  31.]
 [141.   9.  17.  30.]
 [157.   7.  24.  38.]]"
test/101_1.png,CLEAR,"[[ 3.  3. 18. 26.]
 [21.  8.  9. 19.]
 [30.  5.  9. 20.]
 [39.  4. 12. 20.]
 [51.  2. 13. 19.]]"
test/101_2.png,CHANNEL,"[[ 5.  9. 17. 28.]
 [21. 14. 14. 19.]
 [35. 13. 11. 18.]
 [46. 10. 13. 19.]
 [59.  7. 13. 21.]
 [73.  5.  9. 21.]
 [82.  5. 13. 19.]]"
test/101_3.png,UNIVERSAL,"[[  7.  17.  24.  33.]
 [ 34.  20.  21.  27.]
 [ 61.  18.   8.  29.]
 [ 72.  16.  21.  29.]
 [ 95.  15.  20.  28.]
 [118.  13.  17.  27.]
 [136.  11.  21.  30.]
 [161.   9.  21.  29.]
 [182.   6.  20.  31.]]"
test/101_4.png,STUDIOS,"[[  6.  13.  23.  32.]
 [ 31.  15.  20.  27.]
 [ 53.  13.  20.  28.]
 [ 77.  10.  20.  31.]
 [102.   9.  10.  28.]
 [114.   7.  23.  30.]
 [140.   5.  19.  28.]]"
test/101_5.png,HOLLYWOOD,"[[  4.  18.  28.  38.]
 [ 36.  22.  22.  29.]
 [ 61.  21.  20.  31.]
 [ 84.  19.  17.  29.]
 [103.  18.  21.  26.]
 [128.  14.  29.  31.]
 [158.  12.  24.  31.]
 [183.   9.  25.  30.]
 [211.   7.  22.  30.]]"
test/101_6.png,COM,"[[ 7. 10. 22. 28.]
 [32.  9. 19. 28.]
 [59.  6. 27. 29.]]"
test/1021_2.png,Loan,"[[ 7. 11. 12. 33.]
 [18. 14. 16. 27.]
 [34. 10. 15. 28.]
 [49.  5. 16. 31.]]"
test/1021_3.png,that,"[[ 3. 13. 11. 35.]
 [15.  8. 15. 39.]
 [31.  9. 16. 34.]
 [47.  4. 13. 35.]]"
test/1021_4.png,HOME,"[[ 9. 18. 19. 48.]
 [30. 14. 18. 50.]
 [49.  9. 27. 50.]
 [76.  3. 19. 51.]]"
test/1021_5.png,LOANS,"[[ 6. 20. 17. 50.]
 [22. 18. 23. 50.]
 [46. 16. 22. 51.]
 [68.  9. 27. 52.]
 [95.  2. 23. 57.]]"
test/1023_12.png,JAMMU,"[[ 2.  7. 11. 16.]
 [13.  7. 13. 15.]
 [26.  7. 15. 16.]
 [41.  7. 14. 17.]
 [55.  8. 13. 15.]]"
test/1023_13.png,41KM,"[[ 8.  5. 11. 16.]
 [19.  6. 10. 14.]
 [37.  5. 12. 17.]
 [50.  5. 15. 16.]]"
test/1023_14.png,83KM,"[[ 4.  7. 10. 14.]
 [14.  6. 12. 16.]
 [32.  6. 13. 16.]
 [46.  6. 15. 17.]]"
test/1023_19.png,VISIT,"[[ 5.  7.  9. 11.]
 [15.  7.  4. 11.]
 [19.  6.  9. 14.]
 [28.  7.  4. 11.]
 [31.  7. 11. 11.]]"
test/1023_20.png,AGAIN,"[[ 5.  4. 10. 13.]
 [15.  4. 10. 13.]
 [25.  5. 10. 12.]
 [35.  5.  4. 11.]
 [39.  5.  9. 12.]]"
test/1023_5.png,YOU,"[[ 4.  7.  9. 10.]
 [13.  7. 10. 10.]
 [22.  7. 10. 10.]]"
test/1023_6.png,HAPPY,"[[ 5.  8.  9. 10.]
 [15.  8.  9. 11.]
 [24.  8.  8. 10.]
 [32.  8.  9. 10.]
 [40.  8. 11. 11.]]"
test/1023_7.png,JOURNEY,"[[ 5.  5.  8. 12.]
 [13.  6. 10. 11.]
 [23.  6.  9. 11.]
 [32.  6.  9. 12.]
 [41.  6.  9. 12.]
 [50.  6.  8. 12.]
 [58.  6. 10. 12.]]"
test/1024_1.png,State,"[[ 9.  9.  8. 18.]
 [17. 10.  5. 15.]
 [22.  9.  8. 13.]
 [30.  3.  6. 17.]
 [35.  3. 12. 15.]]"
test/1024_2.png,Bank,"[[ 8. 14. 11. 19.]
 [19. 15.  9. 15.]
 [28. 11. 10. 14.]
 [39.  5. 10. 17.]]"
test/1024_3.png,Of,"[[ 2. 12. 14. 15.]
 [16.  4.  9. 20.]]"
test/1024_4.png,India,"[[ 8. 15.  6. 20.]
 [14. 17. 13. 15.]
 [27.  7. 15. 21.]
 [42.  5.  6. 20.]
 [48.  6. 14. 16.]]"
test/1026_1.png,SBI,"[[ 3.  8. 17. 25.]
 [20.  9. 16. 26.]
 [36.  9.  8. 25.]]"
test/1026_11.png,VISA,"[[ 5.  7. 41. 48.]
 [46.  9. 17. 46.]
 [63. 10. 31. 45.]
 [95. 10. 36. 46.]]"
test/1026_3.png,Platinum,"[[  4.   7.  64.  51.]
 [ 60.  18.  25.  40.]
 [ 75.  38.  27.  21.]
 [103.  20.  19.  39.]
 [111.  27.  30.  32.]
 [133.  40.  29.  20.]
 [164.  39.  30.  23.]
 [196.  42.  47.  21.]]"
test/1026_5.png,4865,"[[ 7.  9. 20. 34.]
 [27. 11. 24. 35.]
 [52. 11. 22. 34.]
 [76. 11. 27. 35.]]"
test/1026_7.png,4567,"[[ 7. 13. 21. 37.]
 [30. 13. 25. 36.]
 [58. 15. 26. 36.]
 [83. 14. 26. 37.]]"
test/1026_8.png,1212,"[[ 5.  9. 12. 25.]
 [21.  8. 18. 27.]
 [61. 10. 15. 27.]
 [77. 11. 21. 28.]]"
test/1026_9.png,VIJAY,"[[ 5.  9. 13. 18.]
 [19. 10.  8. 19.]
 [28. 11. 10. 19.]
 [37. 11. 13. 18.]
 [50. 11. 14. 19.]]"
test/102_1.png,Gypsy,"[[  3.   6.  85.  77.]
 [ 88.  30.  51.  75.]
 [142.  37.  52.  73.]
 [195.  40.  38.  58.]
 [231.  45.  50.  71.]]"
test/102_2.png,05,"[[ 8.  9. 23. 26.]
 [31. 11. 22. 26.]]"
test/1036_1.png,STATE,"[[ 8.  5.  7. 15.]
 [15.  7.  8. 16.]
 [23.  8.  6. 16.]
 [29.  9.  7. 15.]
 [36. 10.  9. 16.]]"
test/1036_2.png,BANK,"[[ 6.  2.  8. 17.]
 [13.  4.  7. 15.]
 [20.  5.  8. 16.]
 [28.  7.  8. 15.]]"
test/1036_3.png,OF,"[[ 5.  5.  8. 17.]
 [13.  7.  7. 13.]]"
test/1036_5.png,LABBIPET,"[[ 6.  5.  8. 13.]
 [14.  7.  7. 11.]
 [21.  7.  7. 11.]
 [28.  8.  7. 12.]
 [35. 10.  4. 10.]
 [39. 10.  6. 11.]
 [45. 11.  6. 10.]
 [52. 13.  6.  9.]]"
test/1036_6.png,VIJAYAWADA,"[[ 7.  4.  7. 10.]
 [14.  6.  3.  9.]
 [18.  6.  5. 10.]
 [23.  6.  5. 12.]
 [28.  7.  6. 10.]
 [34.  9.  5. 10.]
 [39. 10.  8. 10.]
 [47. 11.  6. 10.]
 [52. 11.  6. 11.]
 [58. 13.  6. 10.]]"
test/1036_7.png,Gruha,"[[ 2.  5. 21. 32.]
 [24. 11.  6. 12.]
 [31. 11.  8. 14.]
 [40.  9. 10. 17.]
 [49. 14. 13. 12.]]"
