ImgName,chars,charBB
train/1009_2.png,You,"[[ 5.  5. 21. 36.]
 [25. 15. 24. 26.]
 [49. 11. 25. 28.]]"
train/1017_1.png,Rescue,"[[ 4.  4. 17. 25.]
 [21. 10. 13. 17.]
 [34. 10. 13. 17.]
 [47. 10. 13. 17.]
 [59.  9. 16. 19.]
 [75.  8. 14. 19.]]"
train/1017_2.png,mission,"[[ 5.  8. 23. 20.]
 [26.  5. 11. 22.]
 [35.  9. 13. 18.]
 [48.  9. 11. 18.]
 [59.  5.  8. 22.]
 [68.  8. 12. 19.]
 [80.  7. 17. 20.]]"
train/1021_1.png,Home,"[[ 8. 14. 15. 31.]
 [24. 14. 15. 26.]
 [38.  7. 23. 31.]
 [60.  4. 18. 29.]]"
train/1023_1.png,BORDER,"[[ 2.  4. 13. 17.]
 [17.  5. 14. 15.]
 [33.  4. 13. 16.]
 [46.  4. 14. 17.]
 [61.  4. 12. 16.]
 [75.  4. 14. 16.]]"
train/1023_10.png,DODA,"[[ 4.  6. 14. 16.]
 [19.  6. 15. 16.]
 [35.  6. 13. 16.]
 [48.  6. 15. 16.]]"
train/1023_11.png,BATOTE,"[[ 4.  6. 14. 18.]
 [19.  6. 13. 16.]
 [31.  5. 12. 16.]
 [44.  6. 13. 16.]
 [58.  6. 13. 16.]
 [70.  6. 16. 16.]]"
train/1023_15.png,143KM,"[[ 2.  6.  9. 16.]
 [11.  7. 12. 14.]
 [23.  7. 11. 16.]
 [36.  6. 14. 17.]
 [50.  7. 16. 16.]]"
train/1023_16.png,193KM,"[[ 3.  6.  8. 15.]
 [11.  6. 11. 16.]
 [22.  6. 11. 16.]
 [34.  6. 14. 15.]
 [48.  6. 16. 16.]]"
train/1023_17.png,315KM,"[[ 3.  6. 10. 15.]
 [13.  5.  8. 15.]
 [21.  6. 10. 15.]
 [33.  6. 13. 16.]
 [46.  7. 14. 15.]]"
train/1023_18.png,PLEASE,"[[ 7.  4.  8. 11.]
 [15.  4.  8. 11.]
 [23.  4.  9. 12.]
 [33.  4.  9. 13.]
 [42.  4.  9. 12.]
 [51.  4. 10. 12.]]"
train/1023_2.png,ROADS,"[[ 4.  5. 14. 16.]
 [19.  5. 14. 15.]
 [34.  5. 14. 15.]
 [49.  5. 14. 15.]
 [62.  5. 14. 15.]]"
train/1023_3.png,ORGANISATION,"[[  3.   5.  17.  16.]
 [ 21.   5.  14.  17.]
 [ 35.   6.  15.  15.]
 [ 49.   6.  16.  15.]
 [ 65.   6.  14.  16.]
 [ 80.   6.   7.  15.]
 [ 87.   6.  13.  16.]
 [101.   6.  14.  16.]
 [114.   7.  14.  15.]
 [127.   7.   7.  14.]
 [134.   7.  15.  15.]
 [150.   7.  13.  15.]]"
train/1023_4.png,WISHES,"[[ 3.  6. 13. 11.]
 [17.  7.  3. 10.]
 [20.  6.  8. 11.]
 [28.  7.  9. 10.]
 [37.  7.  9. 10.]
 [46.  7.  9. 11.]]"
train/1023_8.png,CHINGAM,"[[ 3.  6. 14. 19.]
 [18.  7. 12. 16.]
 [30.  7.  5. 16.]
 [35.  7. 12. 16.]
 [48.  8. 13. 16.]
 [61.  8. 14. 15.]
 [75.  7. 17. 16.]]"
